Band,Album,albumlink,n,mean,w.mean,diff,l95,CI,w.meanRank,meanRank,users5
Sun Kil Moon,Common As Light and Love Are Red Valleys of Blood,/album/245082/Sun-Kil-Moon-Common-As-Light-and-Love-Are-Red-Valleys-of-Blood/,183,3.455737705,3.304328617,-0.151,3.008899669,3.01 - 3.58,291,811,"Trebor. (4.5%), Rowan5215 (3.0%), DoofusWainwright (2.8%), Arcade (2.7%), robin (2.6%)"
Nothing But Thieves,Broken Machine,/album/252544/Nothing-But-Thieves-Broken-Machine/,98,3.714285714,3.407160489,-0.307,3.005393437,3.01 - 3.77,292,315,"Willie (7.6%), Calc (5.8%), DoofusWainwright (5.6%), Toondude10 (4.8%), Hurricanslash (4.7%)"
The xx,I See You,/album/236053/The-xx-I-See-You/,302,3.391721854,3.236024603,-0.156,3.005313512,3.01 - 3.46,293,893,"SowingSeason (2.8%), klap (2.4%), DoofusWainwright (1.8%), Arcade (1.7%), Irving (1.7%)"
Gorephilia,Severed Monolith,/album/245835/Gorephilia-Severed-Monolith/,32,3.61875,3.696594139,0.078,3.003709709,3 - 4.25,294,510,"Gameofmetal (11.9%), kingdedethefifth (11.5%), ShadowRemains (8.7%), emester (7.8%), Anthracks (6.9%)"
Toby Driver,Madonnawhore,/album/247962/Toby-Driver-Madonnawhore/,85,3.5,3.432544825,-0.067,3.001622383,3 - 3.82,295,718,"insomniac15 (4.2%), Xenophanes (3.8%), DoofusWainwright (3.7%), Wizard (3.4%), Irving (3.3%)"
Oddisee,The Iceberg,/album/241493/Oddisee-The-Iceberg/,45,3.611111111,3.588844816,-0.022,3.001356122,3 - 4.08,296,522,"Hep+Kat (9.4%), Papa+Universe (7.3%), jtswope (7.3%), Jasdevi087 (7.0%), wtferrothorn (6.1%)"
Grave Pleasures,Motherblood,/album/255467/Grave-Pleasures-Motherblood/,38,3.792105263,3.638715175,-0.153,3.000997178,3 - 4.16,297,178,"BallsToTheWall (18.2%), Willie (12.5%), Chamberbelain (7.8%), Archelirion (7.8%), Anthracks (5.0%)"
Evilfeast,Elegies of the Stellar Wind,/album/270200/Evilfeast-Elegies-of-the-Stellar-Wind/,30,3.966666667,3.714691751,-0.252,2.999525069,3 - 4.28,298,17,"TheSpirit (14.7%), Hawks (12.8%), linguist2011 (12.0%), DrGonzo1937 (11.8%), ScuroFantasma (9.0%)"
Avey Tare,Eucalyptus,/album/254792/Avey-Tare-Eucalyptus/,48,3.489583333,3.567519039,0.078,2.997964639,3 - 4.05,299,757,"Frippertronics (6.6%), DoofusWainwright (5.8%), Papa+Universe (5.3%), Gyromania (5.1%), robin (5.0%)"
I the Mighty,Where the Mind Wants to Go / Where You Let it Go,/album/260680/I-the-Mighty-Where-the-Mind-Wants-to-Go---Where-You-Let-it-Go/,103,3.461165049,3.389224626,-0.072,2.996811007,3 - 3.75,300,802,"Ponton (5.9%), Calc (5.5%), Toondude10 (4.6%), ComeToDaddy (3.7%), theNateman (3.5%)"
Pillorian,Obsidian Arc,/album/242493/Pillorian-Obsidian-Arc/,89,3.52247191,3.416514197,-0.106,2.994904316,2.99 - 3.8,301,688,"Crysis (5.9%), Hawks (5.4%), linguist2011 (5.2%), SCREAM%21 (4.4%), Gameofmetal (4.2%)"
Kadinja,Ascendancy,/album/245252/Kadinja-Ascendancy/,25,3.756,3.773614929,0.018,2.991900105,2.99 - 4.37,302,236,"Willie (24.9%), Hawks (24.1%), twlichty (10.9%), cloakanddagger (8.0%), Dmax28 (6.9%)"
At the Drive-In, In?ter a?li?a,/album/245673/At-the-Drive-In-in%E2%80%A2ter-a%E2%80%A2li%E2%80%A2a/,324,3.327777778,3.213453271,-0.114,2.990331006,2.99 - 3.43,303,967,"Willie (2.0%), Green+Baron (1.7%), DrGonzo1937 (1.7%), Hep+Kat (1.7%), greg84 (1.7%)"
Sukekiyo,ADORATIO,/album/252956/Sukekiyo-ADORATIO/,16,4.0625,3.960065139,-0.102,2.989005875,2.99 - 4.61,304,4,"DrGonzo1937 (19.2%), Archelirion (14.9%), Jasdevi087 (14.6%), ComeToDaddy (11.5%), Flugmorph (9.1%)"
King Gizzard and the Lizard Wizard,Murder Of The Universe,/album/249658/King-Gizzard-and-The-Lizard-Wizard-Murder-Of-The-Universe/,184,3.453804348,3.282598925,-0.171,2.98736223,2.99 - 3.56,305,816,"DoofusWainwright (3.9%), Arcade (3.9%), Papa+Universe (3.5%), jtswope (3.4%), wtferrothorn (2.9%)"
Pile,A Hairshirt of Purpose,/album/242148/Pile-A-Hairshirt-of-Purpose/,41,3.670731707,3.601044933,-0.07,2.985454954,2.99 - 4.11,306,402,"Conmaniac (9.1%), Papa+Universe (9.0%), jtswope (8.3%), Wildcatforever (6.7%), SandwichBubble (5.1%)"
Corbin,Mourn,/album/260208/Corbin-Mourn/,41,3.573170732,3.600878788,0.028,2.985278305,2.99 - 4.11,307,596,"jtswope (10.2%), JamieTwort (9.5%), Ryus (7.9%), scissorlocked (6.7%), davidwave4 (6.5%)"
Arcadea,Arcadea,/album/250590/Arcadea-Arcadea/,33,3.742424242,3.666935779,-0.075,2.98291446,2.98 - 4.22,308,265,"Willie (27.1%), Bloon (12.7%), Ebola (9.9%), Dewinged (9.9%), elephantREVOLUTION (7.9%)"
Ensnared,Dysangelium,/album/251692/Ensnared-Dysangelium/,22,3.727272727,3.8146912,0.087,2.982316602,2.98 - 4.43,309,290,"Hawks (11.6%), linguist2011 (10.3%), Gameofmetal (8.8%), Papa+Universe (8.6%), kingdedethefifth (8.5%)"
Death Grips,Steroids (Crouching Tiger Hidden Gabber Megamix),/album/253686/Death-Grips-Steroids-Crouching-Tiger-Hidden-Gabber-Megamix/,146,3.589041096,3.312928254,-0.276,2.981867744,2.98 - 3.62,310,566,"Trebor. (4.7%), greg84 (3.5%), DoofusWainwright (3.0%), butcherboy (2.9%), Thor (2.7%)"
Eighteen Visions,XVIII,/album/251042/Eighteen-Visions-XVIII/,49,3.595918367,3.543081631,-0.053,2.978115748,2.98 - 4.03,311,552,"TheSpirit (13.9%), Willie (12.8%), Spec (10.4%), linguist2011 (10.4%), MoosechriS (6.4%)"
Dodecahedron,Kwintessens,/album/247522/Dodecahedron-Kwintessens/,67,3.63880597,3.462924791,-0.176,2.977763191,2.98 - 3.89,312,471,"Willie (6.7%), linguist2011 (5.4%), Xenophanes (5.0%), Jacquibim (4.8%), Gameofmetal (4.7%)"
Movements,Feel Something,/album/264466/Movements-Feel-Something/,78,3.820512821,3.428174799,-0.392,2.977720031,2.98 - 3.83,313,140,"Trebor. (12.9%), Ponton (8.8%), Scoot (7.4%), ComeToDaddy (5.3%), ianblxdsoe (4.9%)"
P.O.S,"Chill, Dummy",/album/239565/P.O.S-Chill-Dummy/,64,3.5078125,3.472127903,-0.036,2.975919182,2.98 - 3.91,314,710,"breakingthefragile (5.1%), Papa+Universe (4.8%), jtswope (4.8%), Blindsided (4.5%), HenchmanOfSanta (4.1%)"
Waxahatchee,Out in the Storm,/album/252678/Waxahatchee-Out-in-the-Storm/,82,3.512195122,3.415556564,-0.097,2.975907572,2.98 - 3.81,315,704,"klap (5.9%), DoofusWainwright (4.6%), butcherboy (4.4%), Papa+Universe (4.2%), Gyromania (4.1%)"
The Physics House Band,Mercury Fountain,/album/250638/The-Physics-House-Band-Mercury-Fountain/,33,3.772727273,3.660347496,-0.112,2.975868333,2.98 - 4.21,316,211,"TheSpirit (14.0%), Frippertronics (11.0%), jtswope (8.2%), wtferrothorn (7.1%), JJKeys (5.5%)"
Moonspell,1755,/album/260494/Moonspell-1755/,37,3.716216216,3.621351043,-0.095,2.973625847,2.97 - 4.15,317,312,"Storm+In+A+Teacup (12.3%), Papa+Universe (10.5%), Xenorazr (9.6%), PsychicChris (9.2%), DarkNoctus (8.0%)"
Charly Bliss,Guppy,/album/250807/Charly-Bliss-Guppy/,46,3.565217391,3.556390811,-0.009,2.973567666,2.97 - 4.05,318,613,"klap (12.5%), Conmaniac (8.9%), jtswope (8.1%), zaruyache (6.0%), barcafan21 (4.7%)"
Krallice,Go Be Forgotten,/album/268853/Krallice-Go-Be-Forgotten/,37,3.740540541,3.621022455,-0.12,2.973275873,2.97 - 4.15,319,268,"Xenophanes (8.8%), Gameofmetal (8.1%), Lord%28e%29Po%29%29%29ts (7.8%), Papa+Universe (7.7%), zaruyache (5.3%)"
Marika Hackman,I'm Not Your Man,/album/246958/Marika-Hackman-Im-Not-Your-Man/,40,3.4875,3.595940712,0.108,2.972144195,2.97 - 4.12,320,758,"klap (11.2%), butcherboy (8.4%), Lord%28e%29Po%29%29%29ts (8.1%), Jasdevi087 (7.7%), jtswope (7.3%)"
Sunlight's Bane,The Blackest Volume: Like All The Earth Was Buried,/album/245164/Sunlights-Bane-The-Blackest-Volume-Like-All-The-Earth-Was-Buried/,23,3.782608696,3.787354138,0.005,2.971929214,2.97 - 4.4,321,194,"Hawks (14.9%), linguist2011 (13.2%), Archelirion (10.5%), Chamberbelain (9.9%), Artuma (9.0%)"
Loss,Horizonless,/album/246004/Loss-Horizonless/,54,3.694444444,3.51055116,-0.184,2.971304841,2.97 - 3.98,322,350,"Hawks (6.8%), linguist2011 (5.6%), Xenophanes (5.2%), Papa+Universe (5.0%), Wizard (4.8%)"
The Ominous Circle,Appalling Ascension,/album/243428/The-Ominous-Circle-Appalling-Ascension/,31,3.774193548,3.676184436,-0.098,2.970309813,2.97 - 4.24,323,209,"Hawks (15.6%), linguist2011 (13.8%), HenchmanOfSanta (9.5%), Anthracks (7.2%), Evok (6.8%)"
Junius,Eternal Rituals For The Accretion of Light,/album/246341/Junius-Eternal-Rituals-For-The-Accretion-of-Light/,63,3.606349206,3.470565396,-0.136,2.970266354,2.97 - 3.91,324,536,"Willie (9.3%), linguist2011 (7.5%), Calc (6.9%), Papa+Universe (6.2%), jtswope (5.7%)"
Colin Stetson,All This I Do For Glory,/album/245083/Colin-Stetson-All-This-I-Do-For-Glory/,44,3.613636364,3.565371623,-0.048,2.9696142,2.97 - 4.07,325,517,"Calc (9.9%), jtswope (8.7%), Papa+Universe (8.7%), Lord%28e%29Po%29%29%29ts (8.2%), JJKeys (5.4%)"
Geotic,Abysma,/album/243272/Geotic-Abysma/,43,3.581395349,3.57183896,-0.01,2.969385757,2.97 - 4.08,326,585,"Conmaniac (5.9%), jtswope (5.7%), JohnnyOnTheSpot (5.7%), Lord%28e%29Po%29%29%29ts (5.6%), wtferrothorn (4.9%)"
Jesca Hoop,Memories Are Now,/album/244781/Jesca-Hoop-Memories-Are-Now/,48,3.59375,3.539465829,-0.054,2.968281033,2.97 - 4.03,327,559,"Xenophanes (10.7%), Papa+Universe (8.4%), TVC15 (6.6%), scissorlocked (5.6%), Dewinged (4.6%)"
James Holden & The Animal Spirits,The Animal Spirits,/album/267462/James-Holden-and-The-Animal-Spirits-The-Animal-Spirits/,29,3.844827586,3.695962311,-0.149,2.966695952,2.97 - 4.27,328,111,"jtswope (13.6%), Sniff (7.3%), hesperus (7.0%), RadicalEd (6.9%), STOP+SHOUTING%21 (6.5%)"
Entheos (CAN),Le Zahir,/album/246933/Entheos-CAN-Le-Zahir/,9,3.944444444,4.25898041,0.315,2.965479154,2.97 - 4.91,329,29,"cryptologous (36.8%), clavier (31.2%), R3fl3cti0ns (12.1%), MetalSoliloquy (10.8%), br4dl3yb34r (4.2%)"
The World Is A Beautiful Place...,Always Foreign,/album/258628/The-World-Is-a-Beautiful-Place...-Always-Foreign/,144,3.465972222,3.298956241,-0.167,2.965130735,2.97 - 3.61,330,792,"Trebor. (4.2%), SowingSeason (3.9%), Willie (3.5%), Rowan5215 (2.7%), DoofusWainwright (2.5%)"
Fazerdaze,Morningside,/album/249345/Fazerdaze-Morningside/,49,3.546938776,3.530212722,-0.017,2.964522654,2.96 - 4.02,331,649,"klap (9.8%), DoofusWainwright (7.4%), Papa+Universe (6.8%), manosg (6.7%), neekafat (5.5%)"
All Pigs Must Die,Hostage Animal,/album/263874/All-Pigs-Must-Die-Hostage-Animal/,44,3.613636364,3.559785875,-0.054,2.963699097,2.96 - 4.06,332,517,"linguist2011 (11.4%), Chamberbelain (8.6%), cvlts (8.6%), Nikkolae (6.7%), botb (5.3%)"
Lapalux,Ruinism,/album/251206/Lapalux-Ruinism/,38,3.618421053,3.60249975,-0.016,2.962419914,2.96 - 4.13,333,511,"DoofusWainwright (7.1%), jtswope (6.3%), Papa+Universe (6.2%), Conmaniac (6.2%), Jasdevi087 (6.0%)"
Gas,Narkopop,/album/249520/Gas-Narkopop/,94,3.393617021,3.37358737,-0.02,2.961836467,2.96 - 3.75,334,889,"Trebor. (5.7%), CaptainDooRight (3.8%), DoofusWainwright (3.5%), Wizard (3.2%), robin (3.2%)"
Nokturnal Mortum,Verity,/album/247161/Nokturnal-Mortum-Verity/,56,3.598214286,3.491143604,-0.107,2.960838828,2.96 - 3.95,335,551,"Crysis (7.6%), Hawks (7.1%), Gameofmetal (5.4%), kingdedethefifth (5.3%), Archelirion (5.1%)"
McCafferty,Thanks. Sorry. Sure.,/album/253987/McCafferty-Thanks.-Sorry.-Sure./,30,3.666666667,3.678504939,0.012,2.960707029,2.96 - 4.25,336,407,"Willie (13.8%), Calc (10.0%), Papa+Universe (9.1%), Conmaniac (9.1%), verdant (7.0%)"
Aether Realm,Tarot,/album/255553/Aether-Realm-Tarot/,33,3.818181818,3.64581751,-0.172,2.960349208,2.96 - 4.2,337,143,"Willie (15.8%), CaptainDooRight (13.5%), Poet (7.6%), Flugmorph (7.5%), Essence (6.7%)"
Free Throw,Bear Your Mind,/album/248966/Free-Throw-Bear-Your-Mind/,47,3.612765957,3.536869385,-0.076,2.959333664,2.96 - 4.03,338,519,"Trebor. (11.2%), Atari (8.6%), Papa+Universe (6.2%), Conmaniac (6.2%), ianblxdsoe (4.3%)"
Circuit Des Yeux,Reaching For Indigo,/album/265765/Circuit-Des-Yeux-Reaching-For-Indigo/,24,3.6375,3.758241036,0.121,2.958469039,2.96 - 4.36,339,474,"Atari (17.8%), DoofusWainwright (14.1%), SandwichBubble (7.3%), Dewinged (6.7%), Lucid (6.2%)"
Need,Hegaiamas: A Song For Freedom,/album/235178/Need-Hegaiamas-A-Song-For-Freedom/,28,3.678571429,3.700233069,0.022,2.957885525,2.96 - 4.28,340,388,"manosg (20.3%), MarsKid (11.2%), Dewinged (10.8%), Snowdog808 (10.7%), Mythodea (10.4%)"
Disperse,Foreword,/album/239086/Disperse-Foreword/,75,3.692,3.41686234,-0.275,2.956800069,2.96 - 3.83,341,360,"Willie (7.7%), Hawks (7.4%), linguist2011 (6.2%), Lord%28e%29Po%29%29%29ts (5.6%), Gameofmetal (5.4%)"
Dyscarnate,With All Their Might,/album/262228/Dyscarnate-With-All-Their-Might/,50,3.77,3.517303201,-0.253,2.95673658,2.96 - 4,342,215,"Hawks (13.1%), linguist2011 (11.8%), DoofusWainwright (10.4%), Madbutcher3 (9.0%), TheNotrap (5.9%)"
J.I.D,The Never Story,/album/247309/J.I.D-The-Never-Story/,38,3.710526316,3.594957637,-0.116,2.954406552,2.95 - 4.13,343,328,"Brostep (11.8%), Conmaniac (11.6%), JamieTwort (11.2%), Papa+Universe (11.2%), hesperus (5.8%)"
Dayseeker,Dreaming is Sinking /// Waking is Rising,/album/254794/Dayseeker-Dreaming-is-Sinking-----Waking-is-Rising/,52,3.692307692,3.503585809,-0.189,2.953440342,2.95 - 3.98,344,356,"Gameofmetal (12.3%), Toondude10 (11.0%), Mort. (8.4%), Ebola (6.6%), Drubbi (5.8%)"
Spirit Adrift,Curse of Conception,/album/264293/Spirit-Adrift-Curse-of-Conception/,33,3.727272727,3.637862367,-0.089,2.951864455,2.95 - 4.19,345,290,"Willie (12.6%), BigHans (11.8%), Xenophanes (9.1%), Thor (8.9%), Inveigh (7.8%)"
Amplifier,Trippin' with Dr. Faustus,/album/249294/Amplifier-Trippin-with-Dr.-Faustus/,34,3.588235294,3.626870682,0.039,2.950638907,2.95 - 4.18,346,568,"greg84 (13.2%), insomniac15 (12.7%), menawati (12.0%), DoofusWainwright (11.5%), PistolPete (7.0%)"
Metz,Strange Peace,/album/262139/Metz-Strange-Peace/,37,3.540540541,3.598475493,0.058,2.949293967,2.95 - 4.13,347,657,"DoofusWainwright (10.9%), Papa+Universe (9.5%), Tyler. (6.0%), SandwichBubble (5.5%), ashcrash9 (5.3%)"
Sorcerer,The Crowning of the Fire King,/album/261285/Sorcerer-The-Crowning-of-the-Fire-King/,40,3.6475,3.570954809,-0.077,2.945634811,2.95 - 4.09,348,452,"Willie (10.9%), Lord%28e%29Po%29%29%29ts (8.7%), linguist2011 (8.7%), Papa+Universe (8.2%), manosg (7.1%)"
Hellripper,Coagulating Darkness,/album/250169/Hellripper-Coagulating-Darkness/,22,3.759090909,3.779301305,0.02,2.944088177,2.94 - 4.4,349,233,"Hawks (16.2%), Wizard (11.7%), manosg (11.2%), jtswope (10.7%), zaruyache (7.8%)"
Goldfrapp,Silver Eye,/album/243130/Goldfrapp-Silver-Eye/,43,3.495348837,3.547898453,0.053,2.944043264,2.94 - 4.06,350,752,"klap (8.7%), Frippertronics (7.6%), johnnydeking29 (6.2%), Papa+Universe (6.1%), Lord%28e%29Po%29%29%29ts (6.0%)"
CHON,Homey,/album/254054/CHON-Homey/,135,3.475555556,3.288379361,-0.187,2.943111148,2.94 - 3.61,351,774,"insomniac15 (5.1%), Calc (4.2%), butcherboy (4.1%), TalonsOfFire (3.8%), Beauville88 (3.1%)"
Novelists,Noir,/album/258749/Novelists-Noir/,44,3.731818182,3.539801932,-0.192,2.942566216,2.94 - 4.05,352,281,"Willie (24.4%), sspedding (9.8%), twlichty (9.2%), DinosaurJones (8.9%), cloakanddagger (7.2%)"
Au-Dessus,End of Chapter,/album/249483/Au-Dessus-End-of-Chapter/,28,3.660714286,3.685807075,0.025,2.942436324,2.94 - 4.27,353,432,"Hawks (14.4%), linguist2011 (13.1%), Papa+Universe (10.4%), Ignimbrite (8.3%), Evok (6.3%)"
Hundred Waters,Communicating,/album/262046/Hundred-Waters-Communicating/,42,3.571428571,3.551653776,-0.02,2.940683424,2.94 - 4.07,354,599,"klap (8.6%), DoofusWainwright (6.6%), Lord%28e%29Po%29%29%29ts (5.9%), Ignimbrite (4.8%), verdant (4.6%)"
Botanist,Collective: The Shape of He to Come,/album/260865/Botanist-Collective-The-Shape-of-He-to-Come/,30,3.7,3.659559298,-0.04,2.940457132,2.94 - 4.23,355,340,"Hawks (14.4%), Confessed2005 (10.1%), jtswope (10.1%), JJKeys (6.7%), Sabrutin (6.4%)"
John Mayer,The Search for Everything,/album/248320/John-Mayer-The-Search-for-Everything/,81,3.561728395,3.382623971,-0.179,2.938839235,2.94 - 3.78,356,621,"jtswope (7.2%), Snide (6.8%), RivalSkoomaDealer (5.1%), tiesthatbind (4.6%), dub+sean (4.4%)"
Omar Rodriguez-Lopez,Birth Of A Ghost,/album/252197/Omar-Rodriguez-Lopez-Birth-Of-A-Ghost/,10,3.8,4.167747251,0.368,2.938794887,2.94 - 4.84,357,166,"JJKeys (38.0%), StKiyo (25.0%), ElviGemini (11.6%), Ethanodd (7.3%), AdoreSwancore (6.3%)"
Iron Chic,You Can't Stay Here,/album/264956/Iron-Chic-You-Cant-Stay-Here/,20,3.775,3.813265373,0.038,2.938171014,2.94 - 4.45,358,207,"tom79 (21.5%), Dewinged (11.5%), mallen- (11.4%), ZippaThaRippa (9.0%), SnakeDelilah (6.5%)"
Witherfall,Nocturnes and Requiems,/album/244530/Witherfall-Nocturnes-and-Requiems/,43,3.662790698,3.542077653,-0.121,2.937891629,2.94 - 4.05,359,428,"Hawks (9.5%), Willie (9.3%), linguist2011 (7.3%), kingdedethefifth (6.6%), manosg (6.1%)"
Morbid Angel,Kingdoms Disdained,/album/264258/Morbid-Angel-Kingdoms-Disdained/,121,3.342975207,3.301796261,-0.041,2.937243229,2.94 - 3.64,360,954,"TheSpirit (4.9%), Nagrarok (4.2%), Jacquibim (3.3%), Gameofmetal (3.2%), Wizard (3.1%)"
Envy On The Coast,Ritual,/album/256156/Envy-On-The-Coast-Ritual/,23,3.717391304,3.75382152,0.036,2.935798529,2.94 - 4.37,361,311,"greg84 (24.0%), Calc (21.1%), Ecnalzen (9.6%), beachdude (9.3%), elephantREVOLUTION (8.0%)"
Planning for Burial,Below the House,/album/246094/Planning-for-Burial-Below-the-House/,83,3.638554217,3.374135546,-0.264,2.935486874,2.94 - 3.77,362,472,"Willie (6.2%), linguist2011 (5.2%), Frippertronics (5.0%), Storm+In+A+Teacup (4.7%), Papa+Universe (3.9%)"
Acrimonious,Eleven Dragons,/album/233765/Acrimonious-Eleven-Dragons/,25,3.712,3.720571771,0.009,2.934810057,2.93 - 4.33,363,326,"Hawks (26.3%), Voivod (20.1%), Evok (11.7%), Hellscythe (6.7%), Sunnyvale (5.2%)"
Mors Principium Est,Embers of a Dying World,/album/235849/Mors-Principium-Est-Embers-of-a-Dying-World/,75,3.505333333,3.394837488,-0.11,2.933835476,2.93 - 3.81,364,714,"Willie (8.1%), linguist2011 (6.5%), Gameofmetal (5.7%), kingdedethefifth (5.5%), Xenorazr (5.1%)"
Kairon IRSE!,Ruination,/album/243650/Kairon-IRSE%21-Ruination/,45,3.666666667,3.522266542,-0.144,2.930900331,2.93 - 4.03,365,407,"Yazz_Flute (9.2%), jtswope (8.8%), Papa+Universe (8.3%), Sinternet (5.4%), IronGiant (5.2%)"
Public Service Broadcasting,Every Valley,/album/256494/Public-Service-Broadcasting-Every-Valley/,20,3.775,3.80626771,0.031,2.930623985,2.93 - 4.44,366,207,"Papa+Universe (21.0%), Sniff (12.4%), Dewinged (11.4%), hesperus (10.2%), STOP+SHOUTING%21 (8.4%)"
Woe,Hope Attrition,/album/247486/Woe-Hope-Attrition/,34,3.647058824,3.607694579,-0.039,2.930240815,2.93 - 4.16,367,453,"Willie (14.4%), Hawks (13.4%), linguist2011 (11.9%), Ignimbrite (7.9%), Essence (5.9%)"
Lorna Shore,Flesh Coffin,/album/243421/Lorna-Shore-Flesh-Coffin/,74,3.682432432,3.393375234,-0.289,2.929151615,2.93 - 3.81,368,381,"TheSpirit (10.4%), Willie (10.3%), Snide (5.5%), ChuckyTruant (4.9%), Evok (4.0%)"
Necrot,Blood Offerings,/album/254645/Necrot-Blood-Offerings/,28,3.696428571,3.67127591,-0.025,2.926904628,2.93 - 4.26,369,349,"linguist2011 (15.2%), Hawks (14.9%), ShadowRemains (8.4%), Bloon (8.4%), Ovrot (8.2%)"
Jakub Zytecki,Feather Bed,/album/256955/Jakub-Zytecki-Feather-Bed/,21,3.80952381,3.780713517,-0.029,2.925120657,2.93 - 4.41,370,153,"AtomicWaste (19.3%), cryptologous (11.7%), smaugman (11.0%), clavier (10.3%), ProjectFreak (9.4%)"
Yowie,Synchromysticism,/album/245686/Yowie-Synchromysticism/,34,3.647058824,3.602222275,-0.045,2.924428526,2.92 - 4.16,371,453,"DoofusWainwright (8.1%), Conmaniac (7.2%), Archelirion (7.2%), jtswope (6.9%), Mort. (5.5%)"
Cenotaph,Perverse Dehumanized Dysfunctions,/album/254851/Cenotaph-Perverse-Dehumanized-Dysfunctions/,18,3.833333333,3.844276864,0.011,2.922127738,2.92 - 4.5,372,119,"Hawks (34.3%), Anthracks (14.9%), AnimalsAsSummit (14.8%), insanedrexl1 (7.1%), elbaliem (6.6%)"
Ex Eye,Ex Eye,/album/252120/Ex-Eye-Ex-Eye/,44,3.579545455,3.519960391,-0.06,2.921628992,2.92 - 4.03,373,587,"Calc (8.0%), JohnnyOnTheSpot (6.9%), jtswope (6.8%), JJKeys (4.5%), Evok (4.5%)"
Cavalera Conspiracy,Psychosis,/album/263047/Cavalera-Conspiracy-Psychosis/,37,3.756756757,3.570138457,-0.187,2.919243565,2.92 - 4.11,374,235,"Willie (24.4%), DatsNotDaMetulz (10.6%), TheNotrap (10.1%), BradleyLayne (6.6%), Hellscythe (5.7%)"
The Doppelgangaz,Dopp Hopp,/album/211145/The-Doppelgangaz-Dopp-Hopp/,23,3.804347826,3.73379357,-0.071,2.914303236,2.91 - 4.36,375,162,"Jacquibim (12.2%), Calc (11.7%), Scoot (10.7%), JamieTwort (10.0%), Lord%28e%29Po%29%29%29ts (9.6%)"
Wormwood,Ghostlands - Wounds From A Bleeding Earth,/album/248492/Wormwood-Ghostlands---Wounds-From-A-Bleeding-Earth/,36,3.888888889,3.574103027,-0.315,2.914234228,2.91 - 4.12,376,67,"Hawks (22.6%), jtswope (14.2%), VikkiH (7.9%), hesperus (7.7%), Dmax28 (6.3%)"
Depeche Mode,Spirit,/album/243896/Depeche-Mode-Spirit/,163,3.30797546,3.228996625,-0.079,2.913569522,2.91 - 3.53,377,983,"SowingSeason (4.8%), Willie (4.2%), DrGonzo1937 (3.6%), insomniac15 (3.6%), DoofusWainwright (3.1%)"
Deaf Havana,All These Countless Nights,/album/233669/Deaf-Havana-All-These-Countless-Nights/,80,3.5525,3.3591066,-0.193,2.911579597,2.91 - 3.76,378,638,"SowingSeason (8.0%), Storm+In+A+Teacup (5.7%), Ponton (5.4%), Scoot (5.4%), Xenorazr (4.5%)"
My Ticket Home,Unreal,/album/259492/My-Ticket-Home-Unreal/,44,3.579545455,3.510361078,-0.069,2.911515565,2.91 - 4.02,379,587,"Willie (15.5%), linguist2011 (12.4%), DatsNotDaMetulz (6.8%), betray (6.3%), TheGreatQ (6.2%)"
Northlane,Mesmer,/album/247909/Northlane-Mesmer/,206,3.461165049,3.191566905,-0.27,2.910502067,2.91 - 3.46,380,802,"Willie (5.3%), linguist2011 (4.4%), Gameofmetal (3.6%), Xenorazr (3.4%), Toondude10 (3.2%)"
Exquirla,Para Quienes Aun Viven,/album/246733/Exquirla-Para-Quienes-A%C3%BAn-Viven/,33,3.666666667,3.597217945,-0.069,2.908644376,2.91 - 4.16,381,407,"DoofusWainwright (11.5%), jtswope (10.1%), Papa+Universe (10.0%), zaruyache (6.7%), Sniff (5.6%)"
Usnea,Portals Into Futility,/album/261735/Usnea-Portals-Into-Futility/,18,3.916666667,3.831134671,-0.086,2.907959609,2.91 - 4.49,382,42,"Hawks (27.2%), linguist2011 (21.2%), Evok (11.2%), hesperus (9.4%), Sunnyvale (5.4%)"
Low Roar,"Once in a Long, Long While...",/album/250081/Low-Roar-Once-in-a-Long-Long-While.../,30,3.7,3.628252024,-0.072,2.907103117,2.91 - 4.21,383,340,"Ignimbrite (13.7%), anatelier (9.4%), Sniff (9.4%), Dewinged (9.2%), hesperus (9.0%)"
Sepultura,Machine Messiah,/album/234813/Sepultura-Machine-Messiah/,142,3.485211268,3.244156941,-0.241,2.906348603,2.91 - 3.56,384,760,"Willie (5.5%), Hep+Kat (4.5%), DoofusWainwright (3.9%), Metalstyles (3.9%), manosg (3.6%)"
Oneohtrix Point Never,Good Time,/album/259186/Oneohtrix-Point-Never-Good-Time-Soundtrack/,23,3.630434783,3.72577568,0.095,2.905715378,2.91 - 4.35,385,486,"DoofusWainwright (11.7%), JamieTwort (10.6%), jtswope (9.9%), Ryus (9.1%), Tyler. (7.1%)"
Thundercat,Drunk,/album/243300/Thundercat-Drunk/,191,3.392146597,3.197517016,-0.195,2.905644415,2.91 - 3.47,386,892,"robertsona (3.1%), DoofusWainwright (2.7%), Arcade (2.6%), Irving (2.5%), JamieTwort (2.4%)"
Artificial Language,The Observer,/album/248730/Artificial-Language-The-Observer/,26,3.75,3.675299845,-0.075,2.902197295,2.9 - 4.28,387,244,"Calc (28.5%), Papa+Universe (24.8%), Dmax28 (11.2%), JakeStallion (6.2%), Thibs (5.5%)"
